location,population,HighestDeathCount
United States,338289856,1136920
Brazil,215313504,704659
India,1417173120,532037
Russia,144713312,400102
Mexico,127504120,334699
United Kingdom,67508936,230383
Peru,34049588,221704
Italy,59037472,192013
Germany,83369840,174979
France,67813000,167985
Indonesia,275501344,161918
Iran,88550568,146480
Colombia,51874028,142942
Argentina,45510324,130472
Spain,47558632,121852
China,1425887360,121742
Poland,39857144,119655
Ukraine,39701744,109918
South Africa,59893884,102595
Turkey,85341248,101419
Japan,123951696,74694
Romania,19659270,68409
Philippines,115559008,66702
Chile,19603736,64497
Canada,38454328,53297
Hungary,9967304,48815
Vietnam,98186856,43206
Czechia,10493990,42884
Bulgaria,6781955,38414
Greece,10384972,37572
Malaysia,33938216,37195
Ecuador,18001002,36043
South Korea,51815808,35934
Thailand,71697024,34482
Belgium,11655923,34339
Pakistan,235824864,30656
Bangladesh,171186368,29477
Tunisia,12356116,29423
Portugal,10270857,27424
Iraq,44496124,25375
Sweden,10549349,24902
Egypt,110990096,24830
Australia,26177410,23188
Netherlands,17564020,22986
Austria,8939617,22534
Bolivia,12224114,22404
Slovakia,5643455,21167
Guatemala,17843914,20235
Paraguay,6780745,19978
Myanmar,54179312,19494
Kazakhstan,19397998,19072
Croatia,4030361,18374
Serbia,6871547,18057
Georgia,3744385,17132
Sri Lanka,21832150,16882
Bosnia and Herzegovina,3233530,16357
Morocco,37457976,16297
Jordan,11285875,14122
Switzerland,8740471,14065
Israel,9449000,12697
Moldova,3272993,12128
Nepal,30547586,12031
Honduras,10432858,11127
Lebanon,5489744,10947
Azerbaijan,10358078,10337
Finland,5540745,10321
North Macedonia,2093606,9946
Lithuania,2750058,9718
Saudi Arabia,36408824,9646
Slovenia,2119843,9448
Costa Rica,5180836,9428
Ireland,5023108,9251
Denmark,5882259,8824
Armenia,2780472,8762
Panama,4408582,8654
Cuba,11212198,8530
Afghanistan,41128772,7952
Uruguay,3422796,7634
Ethiopia,123379928,7574
Latvia,1850654,7384
Belarus,9534956,7118
Algeria,44903228,6881
Libya,6812344,6437
Puerto Rico,3252412,5938
Venezuela,28301700,5856
Norway,5434324,5732
Zimbabwe,16320539,5718
Palestine,5250076,5708
Kenya,54027484,5689
Sudan,46874200,5046
Oman,4576300,4628
Trinidad and Tobago,1531043,4390
