location,date,total_cases,total_deaths,Death_Percentage
India,2020-05-06,49391,1694,3.429774655
India,2020-05-05,46433,1568,3.376908664
India,2020-05-07,52952,1783,3.367200483
India,2020-04-13,9152,308,3.365384615
India,2020-06-17,354065,11903,3.361812097
India,2020-05-10,62939,2109,3.350863535
India,2020-05-08,56342,1886,3.347414007
India,2020-04-16,12380,414,3.344103393
India,2020-04-18,14378,480,3.338433718
India,2020-06-18,366946,12237,3.334823107
India,2020-05-09,59662,1981,3.320371426
India,2020-06-19,380532,12573,3.304058529
India,2020-04-15,11439,377,3.295742635
India,2020-05-11,67152,2206,3.285084584
India,2020-06-20,395048,12948,3.277576396
India,2020-05-01,35043,1147,3.273121593
India,2020-04-14,10363,339,3.271253498
India,2020-05-14,78003,2549,3.267823032
India,2020-04-12,8356,273,3.267113451
India,2020-04-17,13387,437,3.264360947
India,2020-05-02,37336,1218,3.262266981
India,2020-05-03,39980,1301,3.254127064
India,2020-05-13,74281,2415,3.251167863
India,2020-04-30,33050,1074,3.249621785
India,2020-05-12,70756,2293,3.240714568
India,2020-05-15,81970,2649,3.231670123
India,2020-06-21,410461,13254,3.229052212
India,2020-05-04,42533,1373,3.228081725
India,2020-04-19,15712,507,3.226832994
India,2020-06-22,425282,13699,3.221156785
India,2020-04-29,31332,1007,3.213966552
India,2020-04-11,7447,239,3.209346045
India,2020-04-22,19984,640,3.20256205
India,2020-05-16,85940,2752,3.202234117
India,2020-04-23,21393,681,3.183284252
India,2020-06-23,440215,14011,3.182762968
India,2020-06-24,456183,14476,3.173287913
India,2020-04-28,29435,934,3.173093256
India,2020-04-21,18601,590,3.17187248
India,2020-04-25,24506,775,3.162490819
India,2020-05-17,90927,2872,3.15857776
India,2020-05-18,96169,3029,3.149663613
India,2020-06-25,473105,14894,3.148138363
India,2020-04-20,17265,543,3.145091225
India,2020-05-19,101139,3163,3.127379151
India,2020-04-27,27892,872,3.126344472
India,2020-06-26,490401,15301,3.120099674
India,2020-04-24,23077,718,3.111322962
India,2020-04-26,26496,824,3.109903382
India,2020-04-10,6412,199,3.103555833
India,2020-05-20,106750,3303,3.094145199
India,2020-06-27,508953,15685,3.081816985
India,2020-05-21,112359,3435,3.05716498
India,2020-06-28,528859,16095,3.043344256
India,2020-05-22,118447,3583,3.024981637
India,2020-06-29,548318,16475,3.004643291
India,2020-06-30,566840,16893,2.980206055
India,2020-05-23,125101,3720,2.973597333
India,2020-07-01,585493,17400,2.971854488
India,2020-07-02,604641,17834,2.949518805
India,2020-05-24,131868,3867,2.932477932
India,2020-07-03,625544,18213,2.911545791
India,2020-05-25,138845,4021,2.896035147
India,2020-06-16,343091,9900,2.885531827
India,2020-04-09,5865,169,2.881500426
India,2020-07-04,648315,18655,2.87745926
India,2020-06-13,308993,8884,2.875146039
India,2020-05-26,145380,4167,2.866281469
India,2020-06-14,320922,9195,2.865182194
India,2020-06-15,332424,9520,2.86381248
India,2020-07-05,673165,19268,2.862299733
India,2020-05-28,158333,4531,2.861690235
India,2020-05-30,173763,4971,2.860793149
India,2020-05-27,151767,4337,2.857669981
India,2020-06-12,297535,8498,2.856134572
India,2020-05-29,165799,4706,2.838376589
India,2020-05-31,182143,5164,2.835135031
India,2020-06-01,190535,5394,2.830975936
India,2020-06-11,286579,8102,2.82714365
India,2020-04-08,5274,149,2.825180129
India,2020-07-06,697413,19693,2.823721382
India,2020-06-02,198706,5598,2.817227462
India,2020-06-07,246628,6929,2.809494461
India,2020-06-06,236657,6642,2.806593509
India,2020-06-08,256611,7200,2.805803337
India,2020-06-09,266598,7471,2.802346604
India,2020-07-07,719665,20160,2.801303384
India,2020-06-03,207615,5815,2.800857356
India,2020-06-04,216919,6075,2.80058455
India,2020-06-10,276583,7745,2.800244411
India,2020-06-05,226770,6348,2.799312078
India,2020-07-08,742417,20642,2.780378143
India,2020-07-09,767296,21129,2.753696096
India,2020-07-10,793802,21604,2.721585484
India,2020-03-30,1071,29,2.707749767
India,2020-07-11,820916,22123,2.69491641
India,2020-04-06,4067,109,2.680108188
India,2020-07-12,849553,22674,2.668932957
India,2020-07-13,878254,23174,2.638644401
India,2020-07-14,906752,23727,2.616702252
India,2020-07-15,936181,24309,2.596613262
India,2020-04-07,4421,114,2.578602126
India,2020-07-16,968876,24915,2.571536502
